Mkt-RF,SMB,HML,RF
-1.06,0.39,-0.5,0.013
-0.25,-0.66,-1.17,0.013
1.53,-0.1,0.54,0.013
-0.4,0.41,0.24,0.013
0.54,0.53,0.17,0.013
-0.1,0.35,-0.02,0.013
0.32,0.04,0.25,0.013
1,-0.46,0.2,0.013
-0.08,0.68,0.22,0.013
-0.06,0,-0.33,0.013
-0.25,0.19,0.25,0.013
0.46,-0.12,-0.43,0.013
0.2,-0.22,-0.29,0.013
0.59,-0.14,0.7,0.013
0.07,-0.08,0.25,0.013
0.16,-0.29,0.05,0.013
0.52,-0.07,0.08,0.013
0.13,0.29,-0.54,0.013
-0.6,0.14,0.09,0.013
0.67,0.01,0.08,0.013
0.24,0.05,-0.41,0.013
-0.24,0.1,-0.16,0.013
0.37,0.26,-0.22,0.013
0.15,-0.29,-0.07,0.013
-0.35,-0.33,0.45,0.013
-0.48,0.13,0.26,0.013
-0.64,0.6,0.02,0.013
0.4,-0.01,0.15,0.013
0.57,0.16,-0.22,0.013
0.33,0.03,0.18,0.013
0.08,-0.22,0.23,0.013
0.2,0.01,0.01,0.013
-0.15,-0.06,-0.26,0.013
-0.37,-0.13,0.06,0.013
0.26,0.02,-0.48,0.013
0.36,0.05,-0.34,0.011
0.51,-0.02,0.09,0.011
0.32,0.05,-0.04,0.011
-0.17,0.19,0.11,0.011
0.04,0.3,-0.34,0.011
-0.04,0.34,-0.5,0.011
-0.08,0.21,0.25,0.011
0.45,-0.13,0.44,0.011
0.35,-0.16,0.49,0.011
0.09,-0.1,-0.5,0.011
0.42,0.62,0.03,0.011
0.1,-0.09,0.15,0.011
0.17,-0.2,0.18,0.011
-0.63,-0.21,0.07,0.011
0.91,-0.75,0.71,0.011
0.42,-0.21,0.2,0.011
-0.31,0.08,-0.13,0.011
-0.03,-0.39,-0.19,0.011
0.02,-0.19,-0.53,0.011
0.28,0,-0.46,0.011
0.31,0.21,0.26,0.011
-0.22,-0.17,-0.37,0.011
-1.07,-0.06,-0.17,0.011
0.44,-0.18,-0.03,0.011
-0.35,0.45,0.11,0.011
0.33,0.31,0.66,0.011
-0.79,0.18,0.08,0.01
0.31,0.17,-0.67,0.01
0.14,0.43,-0.31,0.01
-0.17,-0.02,0.12,0.01
0.3,-0.24,0.42,0.01
0.39,-0.16,0.25,0.01
0.14,0.07,0.1,0.01
-0.28,-0.36,0.84,0.01
0.07,-0.02,-0.04,0.01
-0.04,0.16,-0.24,0.01
0.05,-0.83,0.89,0.01
0.13,0.1,0.85,0.01
-0.04,-0.15,0.73,0.01
-0.06,-0.25,0.03,0.01
0.61,-0.02,-0.74,0.01
-0.17,-0.25,0.13,0.01
-0.01,0.58,1.24,0.01
-0.36,0.24,0.36,0.01
-0.48,0.43,1.47,0.01
-1.07,-0.48,-1.28,0.01
0.19,0.11,0.48,0.01
-0.35,0,-0.41,0.01
0.16,0.15,0.77,0.01
0.73,-0.38,-0.33,0.01
0.61,0.1,-0.02,0.01
-0.01,0.56,1.08,0.012
0.7,-0.23,0.12,0.012
0.17,0.18,-0.07,0.012
0.37,0.13,1.34,0.012
-0.18,0.34,0.46,0.012
-0.13,0.62,0.52,0.012
0.1,0.21,1,0.012
0.04,-0.91,-0.54,0.012
0.08,0.33,-0.7,0.012
0.31,-0.53,-0.52,0.012
0.49,-0.09,-0.36,0.012
0.1,-0.27,-0.15,0.012
-0.02,-0.01,1.56,0.012
0.24,0.06,0.88,0.012
0.32,-0.74,-0.11,0.012
0.01,0.39,-0.47,0.012
-0.17,0.18,-0.89,0.012
0.72,-0.31,-0.14,0.012
0.14,0.33,0.1,0.012
0.21,0.23,-0.37,0.012
0.07,-0.23,-0.03,0.012
0.55,-0.44,0.25,0.012
-0.4,-0.02,-0.54,0.011
-1.14,-0.13,-0.33,0.011
1.02,-0.05,0.06,0.011
-0.45,0.19,-0.15,0.011
-0.24,0.62,-0.45,0.011
-0.37,-0.09,-0.59,0.011
0.12,-0.55,-0.32,0.011
0.49,0.19,0.32,0.011
0.46,0.1,0.46,0.011
0.17,-0.25,0.25,0.011
-0.04,-0.06,-0.19,0.011
0.18,0.06,-0.79,0.011
-0.81,-0.17,-0.4,0.011
1.02,-0.58,-0.08,0.011
0.42,-0.3,-0.39,0.011
-0.79,0.12,-0.41,0.011
0.04,-0.01,-0.21,0.011
0.17,-0.58,0.03,0.011
-1.06,0.2,-0.53,0.011
0.19,-0.09,0.57,0.011
0.68,-0.09,0.05,0.011
0.16,0.45,-0.33,0.011
0.34,0.16,0.15,0.011
0.52,-0.25,0.07,0.011
-0.23,-0.13,-0.39,0.011
-0.62,0.11,1.24,0.011
0.3,-0.86,0.56,0.011
-0.05,-0.17,-0.34,0.01
-0.08,0.19,0.05,0.01
0.53,-0.26,1.17,0.01
0.59,-0.27,0,0.01
0.11,-0.1,-0.05,0.01
0.24,-0.33,0.32,0.01
0.31,0.33,-0.04,0.01
0.03,-0.14,0.31,0.01
0.19,0.02,-0.15,0.01
-0.29,0.59,-0.11,0.01
0.21,0.12,-1.14,0.01
0.09,0.39,-0.19,0.01
0.18,0.56,0.18,0.01
-0.03,-0.14,0.74,0.01
0.18,-0.06,0.3,0.01
0.27,-0.38,0.93,0.01
0.36,-0.29,-0.76,0.01
0.07,-0.35,0.04,0.01
-0.37,0.24,0.01,0.01
-1.56,0.13,0.12,0.01
0.58,0.02,-0.43,0.01
-0.38,0.07,0.19,0.01
-1.11,0.18,-0.32,0.01
0.48,-0.02,-0.18,0.01
-0.01,0.21,-0.06,0.01
0.27,0.21,0.49,0.012
0.74,0.02,-0.64,0.012
0.78,-0.16,0.17,0.012
0.3,0.29,-0.31,0.012
0.28,-0.15,0.88,0.012
0.28,0.28,-0.44,0.012
0.2,0.09,0.39,0.012
-0.07,-0.12,0.13,0.012
-0.14,-0.01,0.03,0.012
-0.11,-0.33,0.36,0.012
0.49,-0.09,-0.23,0.012
0.02,0.29,0.03,0.012
-0.72,0.54,-0.21,0.012
0.47,0.05,0.25,0.012
0.51,-0.6,0.08,0.012
0.19,-0.41,-0.17,0.012
0.43,-0.57,0.33,0.012
0.22,0.18,0.12,0.012
0.15,0.47,0.77,0.012
-0.14,0.28,0.8,0.012
0.16,0.73,0.44,0.012
0.11,-0.04,0.53,0.012
0.44,0.36,-0.01,0.012
0.12,0.66,0.43,0.012
0.25,-0.62,0.44,0.012
0.32,-0.08,0.21,0.01
0.08,-0.16,0.28,0.01
-0.88,0.2,-0.66,0.01
0.43,0.13,0.2,0.01
0.51,0.22,1.2,0.01
-0.29,0.56,-0.21,0.01
0.28,-0.12,0.42,0.01
0.02,0.19,-0.75,0.01
-0.38,0.14,-0.34,0.01
-0.11,-0.28,-0.22,0.01
-1.51,0.03,-0.69,0.01
0.88,0.07,0.25,0.01
0.62,-0.37,-0.18,0.01
0.16,0.66,1.01,0.01
-0.12,0.19,0.56,0.01
-0.18,0.43,-0.56,0.01
-0.35,-0.32,0.46,0.01
-0.01,0.03,-0.57,0.01
-0.86,-0.43,-0.79,0.01
0.13,-0.05,0.3,0.01
-0.1,-0.11,0.12,0.01
-1.22,-0.54,-0.65,0.01
0.26,-0.02,-0.18,0.01
0.03,0.11,-0.5,0.01
-0.09,-0.03,-0.2,0.01
0.65,0.02,-0.1,0.012
0.55,0.28,0.16,0.012
0.84,-0.42,0.15,0.012
0.6,0.22,-0.05,0.012
-0.25,0.14,-0.03,0.012
-0.18,-0.4,0.13,0.012
0.17,0.2,-0.11,0.012
0.4,-0.52,0.31,0.012
0.33,-0.4,0.49,0.012
0.27,0.18,-0.12,0.012
0.42,-0.04,-0.8,0.012
0.26,0.01,-0.36,0.012
0.16,0.12,0.16,0.012
0.18,-0.15,0.05,0.012
0.26,-0.16,0.39,0.012
0.44,0.12,-0.75,0.012
-0.04,0.12,-0.52,0.012
-0.05,-0.09,-0.25,0.012
0.17,0.16,0.17,0.012
0.41,-0.36,0.04,0.012
0.25,-0.27,-0.18,0.012
0.07,-0.53,-0.06,0.012
0.14,-0.27,-0.21,0.012
0.47,-0.28,0.23,0.012
0.47,-0.77,0.22,0.012
0.54,-0.22,0.08,0.01
0.62,-0.4,-0.28,0.01
-0.65,0.45,-0.46,0.01
0.93,-0.3,0.11,0.01
-0.59,0.32,-0.41,0.01
-0.11,0.09,-0.35,0.01
-1.08,0.61,-0.53,0.01
0.94,-0.16,0.47,0.01
0.24,-0.06,-0.32,0.01
-1.02,-0.4,-0.18,0.01
-1.57,-0.39,-0.95,0.01
0.89,-0.23,0.13,0.01
1.26,-0.03,0.88,0.01
0.62,0.04,0.08,0.01
0.31,0.51,-0.15,0.01
0.03,-0.24,0.02,0.01
0.15,0.21,-0.29,0.01
0.35,0.04,-0.35,0.01
0.35,-0.19,0.16,0.01
0.05,-0.02,0.11,0.01
0.2,0.03,-0.23,0.01
0.02,-0.16,-0.78,0.01
0.22,-0.28,-0.04,0.01
-0.11,0.32,-0.14,0.01
-0.03,0.02,0.32,0.01
-0.03,-0.3,-0.72,0.01
-0.49,0.04,0.19,0.01
0.8,-0.11,-0.38,0.008
0.58,0,0.25,0.008
0.5,-0.13,-0.33,0.008
0.91,-0.64,0.23,0.008
0.45,-0.36,0.26,0.008
0.01,-0.09,0.17,0.008
-0.63,-0.01,-0.59,0.008
0.43,-0.08,0.24,0.008
-0.36,0.39,-0.31,0.008
1.29,-0.74,-0.24,0.008
0.31,-0.2,-0.22,0.008
0.24,-0.18,-0.01,0.008
0.08,-0.35,0.11,0.008
-0.29,0.23,-0.21,0.008
-0.32,-0.32,-0.03,0.008
0.55,0.09,0.41,0.008
-0.15,0.22,-0.03,0.008
-1.16,0.08,-0.44,0.008
0.52,-0.08,0.15,0.008
0.65,-0.34,-0.17,0.008
-0.91,0.12,0.03,0.008
0.22,-0.5,0.05,0.008
-0.38,-0.06,0.48,0.008
0.17,-0.11,-0.01,0.008
1.25,-0.31,0.02,0.008
0.49,-0.06,0.23,0.01
0.26,-0.24,0.58,0.01
-0.4,0.29,-1.26,0.01
-0.29,0.02,-0.2,0.01
0.24,-0.07,0.57,0.01
-0.74,0.51,-0.76,0.01
-0.32,-0.13,0.21,0.01
-0.51,-0.3,-0.38,0.01
0.04,0.26,-0.11,0.01
0.69,0,-0.87,0.01
-0.01,0.68,-0.01,0.01
0.02,0.39,0.1,0.01
-1.26,0.02,-0.27,0.01
0.34,-0.54,-0.1,0.01
-0.81,0.2,0.44,0.01
-1.02,-0.1,0.24,0.01
-0.76,0.82,-0.81,0.01
-0.69,-0.02,0.31,0.01
0.37,-0.1,-0.44,0.01
1.6,-0.21,-0.74,0.01
0.05,0.67,0.09,0.01
-0.41,0.35,-0.17,0.01
-1.45,0.21,-0.98,0.01
-0.5,-0.55,0.01,0.01
0.76,-0.06,-0.32,0.01
-0.01,0.09,0.15,0.009
1,-0.53,-0.17,0.009
1.12,-0.36,0.26,0.009
-0.03,0.21,0.12,0.009
0.55,0.02,-0.01,0.009
0.69,0.34,-0.28,0.009
-0.78,0.37,-0.43,0.009
0.24,0.02,-0.41,0.009
0.87,-0.36,-0.29,0.009
0.34,0.17,-0.18,0.009
0.51,0.32,0.11,0.009
0.11,-0.14,0.69,0.009
-0.04,0.41,0.11,0.009
0.16,0.31,-0.06,0.009
0.61,0.12,-0.06,0.009
0.27,0.41,-0.02,0.009
-0.52,0.12,0.42,0.009
0.37,-0.11,-0.14,0.009
0.28,0.18,0.09,0.009
0.24,0.15,0.43,0.009
-0.01,0.52,0,0.009
-0.76,0.16,0.04,0.009
0.65,0.34,-0.21,0.009
0.48,-0.14,-0.25,0.009
-0.48,-0.22,0.06,0.009
0.26,-0.57,0.96,0.009
0.36,-0.26,0.24,0.009
-0.4,0.37,0.11,0.009
-0.03,0.32,-0.25,0.009
-0.5,-0.11,-0.53,0.009
-0.86,0.28,-0.16,0.009
1.13,0.02,-0.09,0.009
0.06,0.49,-0.22,0.009
0.58,0.8,-0.59,0.009
0.38,-0.28,-0.31,0.009
-0.37,0.04,-0.03,0.009
0.52,0.19,0.22,0.009
0.66,-0.26,-0.37,0.009
0.05,-0.14,0.64,0.009
0.32,0.22,-0.35,0.009
0.01,-0.26,0.2,0.009
-0.07,-0.1,0.27,0.009
-0.06,-0.5,0.21,0.009
0.2,-0.32,0.09,0.009
0.14,-0.01,0.4,0.009
0.01,0.25,-0.28,0.009
-0.57,0.25,-0.21,0.009
0.15,-0.09,-1.1,0.009
0.43,0.71,-0.03,0.009
0.32,0.18,0.02,0.009
0.45,0.83,-0.12,0.01
-0.14,0.52,-0.05,0.01
-0.73,-0.1,0.26,0.01
0.62,0.53,0.06,0.01
0.11,-0.01,0.29,0.01
-0.89,0.12,-0.04,0.01
-0.83,-0.47,0.1,0.01
0.12,0.38,0.29,0.01
0.5,0.2,-0.11,0.01
0.61,0.27,0.11,0.01
-0.67,0.02,-0.01,0.01
-0.89,-0.5,-0.38,0.01
0.17,0.31,0.41,0.01
-0.31,-0.34,-0.13,0.01
0.57,0.23,-0.12,0.01
0.57,0.14,-0.06,0.01
0.21,0.43,-0.4,0.01
0.61,0.16,-0.08,0.01
0.27,0.46,-0.32,0.01
-1.04,-0.31,-0.34,0.01
0.52,0.77,-0.21,0.01
0.27,-0.1,-0.12,0.01
-0.5,0.46,0.16,0.01
-0.42,-0.39,-0.28,0.01
0.32,0.6,0.33,0.01
-0.25,0.52,-0.65,0.014
0.44,0.13,0.18,0.014
-1.14,-0.47,-0.43,0.014
0.05,-0.45,0.18,0.014
0.2,0.33,0.06,0.014
-0.28,-0.26,-0.67,0.014
0.08,-0.03,-0.2,0.014
0.46,-0.12,-0.12,0.014
-0.09,-0.49,-0.11,0.014
-0.02,0.1,0.54,0.014
-0.38,0.58,-0.42,0.014
-0.28,-0.53,-0.04,0.014
-0.32,-0.62,0.07,0.014
-1.66,-0.69,-0.57,0.014
-0.47,-0.61,0.14,0.014
-0.16,0.17,0.3,0.014
1.06,0.41,0.22,0.014
0.23,0.08,-0.13,0.014
0.34,-0.31,0.46,0.014
0.11,-0.16,0.73,0.014
-0.49,0.05,-0.27,0.014
0.35,0.03,0.38,0.014
0.57,0.27,-0.24,0.014
0.25,-0.1,-0.16,0.011
0.07,0.02,-0.69,0.011
0.49,0,-0.62,0.011
0.66,-0.09,0.1,0.011
0.39,0.25,-0.15,0.011
-0.43,0.22,-0.09,0.011
0.42,-0.03,0.56,0.011
1.23,-0.58,-0.37,0.011
-0.27,-0.38,-0.08,0.011
0.41,-0.18,-0.05,0.011
-0.3,0.04,-0.05,0.011
0.13,-0.02,0.49,0.011
0.72,-0.43,0.23,0.011
0.93,-0.57,0.22,0.011
0.19,0.01,0.48,0.011
0.14,1.21,-0.75,0.011
0.42,0.38,-0.2,0.011
0.86,0.15,0.48,0.011
-0.36,-0.3,-0.37,0.011
0.75,-0.38,-0.67,0.011
0.07,-0.45,-0.06,0.011
0.95,0.09,-0.27,0.011
-0.33,-0.25,1.09,0.011
0.03,0.48,0.02,0.011
0.19,0.27,0.41,0.011
1.49,-0.07,-0.7,0.011
-0.57,0.44,0.14,0.011
-0.87,0.71,0.51,0.01
0.6,0.26,-0.38,0.01
-0.07,0.42,0.13,0.01
1.13,-0.26,0.26,0.01
0.34,0.98,0.14,0.01
-0.73,0.33,-0.21,0.01
1.41,0.02,0.96,0.01
-0.25,0.54,-0.44,0.01
1.4,0.05,-0.54,0.01
-0.44,0.1,-0.2,0.01
0.52,-0.3,0.24,0.01
-0.68,0.15,-0.27,0.01
0.02,0.19,-0.12,0.01
0.58,0.62,0.63,0.01
-1.33,0.03,0.12,0.01
-0.73,-0.01,0.32,0.01
0.36,0.03,0,0.01
0.73,-0.07,1.47,0.01
0.63,0.14,0.61,0.01
1.04,-0.13,0.46,0.01
0.5,-0.17,-0.06,0.01
0.06,0.24,-0.54,0.01
0.26,0.18,0.47,0.015
0.08,0.36,-0.21,0.015
0.39,0.22,-0.71,0.015
1.18,-0.68,-0.23,0.015
0.69,0.31,-0.23,0.015
-0.56,-0.13,-0.3,0.015
0.04,-0.29,0.63,0.015
-0.17,0.4,-0.42,0.015
0.77,0.58,-0.59,0.015
0.49,0.57,0.08,0.015
-0.04,0.81,-0.59,0.015
-1.52,-0.18,-0.4,0.015
0.47,-0.29,-0.66,0.015
-0.72,0.13,1.19,0.015
-1.16,0.6,-0.18,0.015
-1.41,-0.49,-0.56,0.015
1.72,-0.13,-0.24,0.015
0.51,0.62,0.29,0.015
0.2,0.32,-0.03,0.015
-1.47,-0.47,-0.27,0.015
0.88,-0.32,-0.1,0.015
0.94,0.52,0.17,0.015
0.31,-0.04,-0.34,0.012
0.64,0.33,-0.07,0.012
-1.85,0.04,-0.18,0.012
0.21,0.34,-0.07,0.012
-0.84,0.4,0.11,0.012
-0.52,-0.77,-0.78,0.012
-1.38,-0.19,-0.74,0.012
-1.3,-0.24,-0.27,0.012
-2.31,-1.14,-0.37,0.012
-2.33,-3.27,0.15,0.012
3.14,0.36,0.69,0.012
0.95,1.52,0.93,0.012
-1.24,-0.18,0.5,0.012
-0.03,-0.58,-0.01,0.012
-2.01,0.06,-0.16,0.012
-0.62,-1.27,-0.16,0.012
1.38,0.07,0.43,0.012
0.15,0.51,0.48,0.012
-0.03,0.15,0.43,0.012
-0.65,0.14,-0.26,0.012
0.09,-0.68,0.53,0.012
1,-0.16,-0.02,0.012
1.01,0.59,-0.23,0.012
0.82,0.24,-0.25,0.012
0.49,-0.11,0.34,0.012
0.12,0.08,-0.28,0.012
-1.2,-0.03,-0.3,0.013
1.61,-0.29,0.13,0.013
0.94,-0.02,0.05,0.013
-0.32,0.21,0.31,0.013
0.26,0.03,0.39,0.013
0.01,0.07,-0.46,0.013
-0.27,0.1,-0.74,0.013
-2.33,0.15,-0.16,0.013
-0.64,-0.64,0.67,0.013
0.7,-0.13,-0.09,0.013
-0.04,0.28,0.33,0.013
-1.23,-0.13,-0.05,0.013
0.45,-0.33,-0.47,0.013
0.89,-0.12,-0.44,0.013
-0.16,0.35,0.59,0.013
0.11,-0.07,0.11,0.013
-0.24,0.18,0.18,0.013
0.62,-0.25,-0.36,0.013
0.04,0.17,0.61,0.013
0.43,-0.09,-0.34,0.013
0.22,-0.14,0.29,0.013
0.78,-0.35,-0.79,0.013
0.25,-0.17,0.03,0.013
-0.13,-0.11,0.07,0.013
-0.11,-0.03,-0.11,0.013
0.26,-0.07,0.01,0.012
-0.45,0.11,-0.01,0.012
0.22,-0.05,0.19,0.012
0.22,0.15,0.2,0.012
0.73,-0.25,-0.32,0.012
-0.35,0.12,0.49,0.012
-1.12,0.16,0.01,0.012
0.12,-0.02,-0.3,0.012
-0.2,0.05,-0.04,0.012
0.12,0.08,-0.14,0.012
-0.05,0.04,0.22,0.012
-0.66,0.54,0.05,0.012
1.38,-0.67,-0.3,0.012
0.79,-0.21,0.22,0.012
0.29,-0.32,-0.48,0.012
0.28,0.02,0.51,0.012
0.23,0.07,-0.07,0.012
0.98,-0.4,-0.46,0.012
0.14,0,-0.61,0.012
0,0.03,0.03,0.012
1.38,-0.36,-0.19,0.012
0.28,-0.11,-0.06,0.012
-0.29,0.13,-0.61,0.012
0.58,-0.38,-0.25,0.012
0.24,0.04,0.08,0.012
0.27,0.03,0.09,0.012
1.15,-0.67,-0.27,0.012
0.25,0.15,0.07,0.011
0.41,-0.03,-0.1,0.011
0.41,0.01,-0.1,0.011
-0.4,0.18,0.5,0.011
0.65,0.35,-0.19,0.011
-0.3,0.19,0.04,0.011
-0.37,0.23,-0.02,0.011
0.63,-0.18,0.21,0.011
0.34,-0.05,0.18,0.011
-0.1,0.06,-0.31,0.011
0.13,0.15,0.42,0.011
0.58,-0.28,0.71,0.011
0.54,0.72,0.11,0.011
-0.68,0.64,-0.71,0.011
-0.07,0.16,0.45,0.011
0.15,0.53,-0.11,0.011
0.67,-0.46,0.18,0.011
-0.24,0.2,0.69,0.011
0.63,-0.42,-0.09,0.011
-0.07,0.24,0.11,0.011
-0.15,0.22,-0.55,0.011
-1.22,-0.15,-0.02,0.011
0.01,-0.11,-0.46,0.011
1.03,-0.01,-0.19,0.011
-0.11,0.83,-0.27,0.016
-0.44,0.1,-0.05,0.016
-0.28,0.56,0.15,0.016
0.25,0.18,0.3,0.016
-0.29,0.46,-0.06,0.016
-0.05,0,0.2,0.016
-0.33,-0.15,-0.27,0.016
0.12,0.09,-1.05,0.016
0.92,-0.04,-0.05,0.016
0.31,0.5,-0.85,0.016
0.55,0.41,-0.46,0.016
0.38,-0.46,0.16,0.016
0.3,-0.16,0.56,0.016
0.3,0.8,0.22,0.016
0.29,-0.29,-0.37,0.016
0.45,-0.19,-0.56,0.016
-0.44,0.25,-0.03,0.016
-0.12,0.28,-0.6,0.016
0.66,-0.09,0.39,0.016
0.22,0.1,0.63,0.016
-0.26,-0.06,0.24,0.016
-1.14,-0.39,-0.06,0.016
0.86,0.16,-0.06,0.016
0.69,-0.07,0.6,0.016
-1.05,-0.33,-0.17,0.016
-0.49,-0.31,-0.57,0.016
1.29,-0.21,-0.28,0.017
-0.1,-0.21,0.31,0.017
0.04,-0.03,-0.34,0.017
1.13,-0.3,0.22,0.017
1.19,0.02,0.85,0.017
-0.25,0.01,-0.13,0.017
0.72,-0.38,0.45,0.017
0.78,0,0.47,0.017
0.34,-0.46,0.01,0.017
0.07,0.18,-0.17,0.017
0.14,0.32,-0.3,0.017
0.36,-0.01,-0.66,0.017
1.77,-0.76,0.23,0.017
0.1,-0.02,-0.09,0.017
0.17,-0.56,1.02,0.017
1.11,-0.63,0.97,0.017
-1.51,0.47,-0.25,0.017
1.39,-0.43,0.71,0.017
0.26,0.43,-0.3,0.017
0.46,0.07,0.69,0.017
0.28,0.88,-0.19,0.017
1.1,0.37,-0.34,0.017
0.39,-0.4,-0.46,0.017
-0.6,0.06,0.66,0.002
-0.7,0.36,-0.42,0.002
0.23,0.49,-0.43,0.002
-0.7,0.82,-0.35,0.002
-3.54,0.01,-1.35,0.002
-2.35,-0.5,0.84,0.002
-1.89,-0.62,0.01,0.002
1.63,-1.31,0.7,0.002
2.3,1.36,0.36,0.002
-0.78,-0.19,0.21,0.002
-0.34,0.44,0.18,0.002
0.19,-0.04,-0.15,0.002
-0.35,0.19,0.1,0.002
-0.37,-0.31,-0.52,0.002
1.07,-0.08,-0.16,0.002
1.2,-0.38,0.34,0.002
0.37,0,-0.19,0.002
1.07,-0.31,-0.18,0.002
0.12,0.3,-0.3,0.002
0.87,0.18,-0.88,0.002
-0.31,0.02,0.24,0.002
0.66,-0.79,-0.01,0.002
1.34,-0.52,0.17,0.002
0.2,0.3,0.16,0.002
1.36,-0.33,0.56,0.002
1.48,0.45,-0.2,0.013
0.1,0.11,-0.34,0.013
-0.03,-0.43,0.64,0.013
-0.88,0.43,-0.22,0.013
-1.3,-0.37,0.25,0.013
-0.23,0.21,0.22,0.013
1.2,0.09,0.11,0.013
0.27,0.3,-0.21,0.013
-0.04,0.2,0.01,0.013
-0.28,0.04,0.14,0.013
0.25,0.17,0.29,0.013
-0.98,-0.1,-0.08,0.013
0.91,-0.16,0.39,0.013
0.71,-0.35,0.05,0.013
0.04,0.24,0.12,0.013
0.19,-0.26,0.31,0.013
0.16,-0.18,0,0.013
0.59,-0.49,-0.25,0.013
0.53,-0.76,-0.56,0.013
-0.83,0.14,-0.66,0.013
1.18,-0.62,-1.33,0.013
0.34,-0.2,-0.06,0.013
-0.27,0.13,0.02,0.013
-0.27,-0.22,-0.3,0.013
0.34,-0.74,-0.33,0.013
1.36,-0.9,0.86,0.013
0.56,-0.32,0.74,0.018
0.01,0.31,0.74,0.018
-0.44,0.69,0.11,0.018
0.22,0.19,-0.22,0.018
-0.82,-0.24,-0.69,0.018
-2.97,-0.03,0.41,0.018
-0.96,-0.57,0.64,0.018
2.18,-0.81,0.71,0.018
0.1,0.42,-0.93,0.018
-0.63,-0.44,0.51,0.018
-1.62,0.58,-0.58,0.018
-1.4,-0.52,0.34,0.018
1.12,-0.38,0.34,0.018
0.2,0.95,-0.31,0.018
0.84,0.32,-0.16,0.018
0.73,-0.44,0.07,0.018
0.28,0.49,-0.23,0.018
0.36,0.17,-0.3,0.018
1.06,-0.3,0.59,0.018
1.01,-0.38,-0.15,0.018
1.01,-0.09,0.38,0.014
-0.27,-0.2,0.62,0.014
-0.89,-0.03,0.38,0.014
-0.68,-0.55,0.53,0.014
-1.57,-0.43,-0.27,0.014
0.76,-0.59,0.37,0.014
0.58,0.02,0.03,0.014
-0.01,0.39,-0.25,0.014
-1.3,0.36,-0.27,0.014
0.25,-0.45,0.07,0.014
0.98,-0.29,0.18,0.014
1.55,-0.17,-0.36,0.014
1.07,-0.29,-0.04,0.014
0.27,0.08,0.03,0.014
